"""","合計(ha)","国有(ha)","民有(ha)"
"総  数","361545.0","16506.0","345039.0"
"","","",""
" 和歌山市","6234.0","426.0","5808.0"
" 海 南 市","3899.0","0.0","3899.0"
" 橋 本 市","7630.0","0.0","7630.0"
" 有 田 市","660.0","0.0","660.0"
" 御 坊 市","1608.0","0.0","1608.0"
" 田 辺 市","91030.0","7317.0","83713.0"
" 新 宮 市","23188.0","1749.0","21439.0"
" 紀の川市","10796.0","166.0","10630.0"
" 岩 出 市","1496.0","100.0","1396.0"
"","","",""
" 紀美野町","9629.0","0.0","9629.0"
"","","",""
" かつらぎ町","9975.0","0.0","9975.0"
" 九度山町","3276.0","0.0","3276.0"
" 高 野 町","12942.0","2152.0","10790.0"
"","","",""
" 湯 浅 町","762.0","0.0","762.0"
" 広 川 町","4938.0","0.0","4938.0"
" 有田川町","26917.0","641.0","26276.0"
"","","",""
" 美 浜 町","600.0","0.0","600.0"
" 日 高 町","3072.0","87.0","2985.0"
" 由 良 町","1887.0","0.0","1887.0"
" 印 南 町","8121.0","471.0","7650.0"
" みなべ町","8200.0","73.0","8127.0"
" 日高川町","28934.0","1207.0","27727.0"
"","","",""
" 白 浜 町","16198.0","0.0","16198.0"
" 上富田町","3709.0","52.0","3657.0"
" すさみ町","16176.0","1077.0","15099.0"
"","","",""
" 那智勝浦町","16093.0","247.0","15846.0"
" 太 地 町","308.0","0.0","308.0"
" 古座川町","27775.0","386.0","27389.0"
" 北 山 村","4524.0","355.0","4169.0"
" 串 本 町","10968.0","0.0","10968.0"
